role_archetype_id,name,description,primary_skill_dimensions,common_interview_types,typical_task_types,common_failure_modes
core_software_engineer,Core Software Engineer,"General software engineering roles: backend/frontend/fullstack/mobile. Focus on coding, problem solving, debugging, and system thinking.","[""problem_solving"", ""coding_fluency"", ""debugging"", ""system_thinking"", ""communication"", ""tradeoffs""]","[""technical"", ""hiring_manager"", ""behavioral""]","[""coding"", ""debugging"", ""code_modification"", ""code_review"", ""system_design_light""]","[""vague reasoning"", ""misses edge cases"", ""incorrect complexity"", ""cannot explain decisions"", ""weak debugging approach""]"
data_analyst,Data Analyst,"Analytics roles focused on SQL, metrics, dashboards, and insight storytelling.","[""sql"", ""data_cleaning"", ""metrics"", ""analysis_storytelling"", ""business_context"", ""communication""]","[""technical"", ""hiring_manager"", ""behavioral""]","[""sql_case"", ""analytics_case"", ""data_interpretation"", ""presentation_summary""]","[""unclear metric definitions"", ""weak SQL joins/window functions"", ""jumps to conclusions"", ""no validation/QA"", ""weak business framing""]"
data_engineer,Data Engineer,"Pipelines, ETL/ELT, warehousing, reliability, and performance.","[""sql"", ""etl_pipelines"", ""data_modeling"", ""reliability"", ""performance"", ""debugging""]","[""technical"", ""hiring_manager"", ""behavioral""]","[""sql_case"", ""debug_pipeline"", ""design_data_model"", ""coding_light""]","[""poor data modeling"", ""ignores data quality"", ""weak tradeoffs"", ""no monitoring/alerting"", ""unclear ownership""]"
data_scientist,Data Scientist,"Experimentation, modeling basics, product analytics, and reasoning.","[""stats"", ""experimentation"", ""modeling_basics"", ""analysis"", ""business_context"", ""communication""]","[""technical"", ""hiring_manager"", ""behavioral""]","[""stats_case"", ""product_sense_case"", ""modeling_explain"", ""analysis_storytelling""]","[""confuses causation"", ""weak experiment design"", ""math gaps"", ""overfits explanation"", ""no tradeoffs/assumptions""]"
ml_engineer,Machine Learning Engineer,"Applied ML in production: training, serving, evaluation, and MLOps.","[""ml_fundamentals"", ""model_evaluation"", ""mlops"", ""system_thinking"", ""debugging"", ""communication""]","[""technical"", ""hiring_manager"", ""behavioral""]","[""ml_case"", ""design_ml_system"", ""debug_model"", ""coding_medium""]","[""cannot explain evaluation"", ""weak data leakage awareness"", ""no monitoring"", ""hand-wavy features"", ""poor tradeoffs""]"
infra_platform,Infrastructure / Platform Engineer,"DevOps/SRE/platform engineering: reliability, automation, and systems.","[""linux"", ""networking"", ""reliability"", ""automation"", ""incident_response"", ""communication""]","[""technical"", ""hiring_manager"", ""behavioral""]","[""incident_simulation"", ""design_reliability"", ""debug_infra"", ""coding_light""]","[""no runbook thinking"", ""weak root cause"", ""ignores observability"", ""poor prioritization"", ""unsafe changes""]"
security_engineer,Security Engineer,Security engineering across appsec/cloud/security operations depending on role.,"[""security_fundamentals"", ""threat_modeling"", ""risk_assessment"", ""incident_response"", ""communication"", ""tooling""]","[""technical"", ""hiring_manager"", ""behavioral""]","[""threat_model_case"", ""incident_simulation"", ""policy_review"", ""tooling_questions""]","[""tactical without risk reasoning"", ""weak threat models"", ""misses basics"", ""poor communication"", ""no triage/prioritization""]"
qa_test_engineer,QA / Test Engineer,"Quality engineering: test strategy, automation, and defect triage.","[""test_strategy"", ""automation"", ""debugging"", ""communication"", ""risk_based_testing"", ""collaboration""]","[""technical"", ""hiring_manager"", ""behavioral""]","[""test_plan_case"", ""bug_triage"", ""automation_design"", ""code_review_light""]","[""tests are shallow"", ""no edge cases"", ""poor prioritization"", ""unclear reproduction steps"", ""weak collaboration signals""]"
product_manager,Product Manager,"Product discovery, prioritization, execution, stakeholder management, and product sense.","[""product_sense"", ""prioritization"", ""customer_empathy"", ""execution"", ""stakeholder_management"", ""communication""]","[""product"", ""hiring_manager"", ""behavioral"", ""case""]","[""product_case"", ""strategy_case"", ""metrics_case"", ""execution_scenario"", ""presentation_summary""]","[""solution jumps"", ""unclear success metrics"", ""weak tradeoffs"", ""poor stakeholder handling"", ""no customer insight""]"
technical_program_manager,Technical Program Manager,Cross-functional delivery of complex technical programs with risk and dependency management.,"[""program_management"", ""technical_depth"", ""risk_management"", ""stakeholder_management"", ""execution"", ""communication""]","[""hiring_manager"", ""behavioral"", ""technical""]","[""program_case"", ""risk_dependency_case"", ""technical_depth_probe"", ""execution_scenario""]","[""no critical path"", ""weak risk plans"", ""unclear ownership"", ""poor cross-team alignment"", ""hand-wavy technicals""]"
