role_archetype_id,task_type,difficulty_band,prompt_template,expected_signals_json,probe_tree_json,tags_json
core_software_engineer,coding_explain,entry-mid,Solve: {{problem_statement}}. Talk through your approach before coding.,"[""states approach"", ""chooses data structures"", ""mentions complexity"", ""checks edge cases""]","[""What edge cases will you test?"", ""What is time/space complexity?"", ""If inputs get 10x, what breaks?""]","[""coding"", ""dsa"", ""explain""]"
core_software_engineer,debugging,entry-mid,Here is code with a failing test. Explain how you would debug it step-by-step.,"[""forms hypotheses"", ""adds targeted tests"", ""finds root cause"", ""verifies fix""]","[""Why start there?"", ""Show a minimal failing input."", ""How prevent regression?""]","[""debugging"", ""tests"", ""reasoning""]"
core_software_engineer,code_modification,entry-mid,Modify this code to meet a new requirement: {{requirement}}. Explain your changes.,"[""understands requirement"", ""updates logic safely"", ""handles edge cases"", ""verifies""]","[""How would you test this?"", ""Any performance concerns?"", ""Any alternative approach?""]","[""modification"", ""requirements""]"
core_software_engineer,code_review,mid-senior,Review this snippet as if it’s a PR. What risks or improvements do you see?,"[""correctness risks"", ""readability"", ""performance"", ""security basics""]","[""Which change is highest impact?"", ""Any edge cases?"", ""How would you test it?""]","[""code_review"", ""quality""]"
data_analyst,sql_case,entry-mid,"Given tables {{schema}}, write SQL to answer: {{question}}. Explain joins and assumptions.","[""correct joins"", ""handles nulls"", ""validates counts"", ""clear explanation""]","[""Why this join type?"", ""How would you QA results?"", ""Any edge cases?""]","[""sql"", ""analytics""]"
data_analyst,metrics_investigation,entry-mid,A key metric dropped by {{percent}}%. What would you investigate first?,"[""defines metric"", ""segments"", ""hypotheses"", ""validates data""]","[""Which segments first?"", ""What data quality checks?"", ""What experiment next?""]","[""metrics"", ""investigation""]"
data_analyst,insight_storytelling,entry-mid,You found an insight: {{insight}}. Present it to a non-technical stakeholder in 2 minutes.,"[""clear story"", ""business impact"", ""next actions"", ""confidence/limits""]","[""What is the recommendation?"", ""How confident are you?"", ""What could be wrong?""]","[""storytelling"", ""stakeholders""]"
data_engineer,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
data_scientist,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
ml_engineer,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
infra_platform,behavioral_star,all,Tell me about a time you faced {{situation}}. What did you do and what happened?,"[""clear context"", ""specific actions"", ""impact"", ""reflection""]","[""What was your role?"", ""Outcome?"", ""What would you do differently?""]","[""behavioral"", ""ownership""]"
