"id","name","description","definition","level","parent_skill_id","prerequisites","learning_outcomes","category","assessment_criteria","is_active","created_at","updated_at","is_lominger_competency"
"70","Coaching for Performance","Helps individuals diagnose root causes, take ownership, and commit to measurable next steps. Balances support with firm expectations to improve performance outcomes.","Driving accountability and improvement through structured conversations.","1",,,,"General",,"true","""2025-12-09T17:11:35.312Z""",,"true"
"71","Crisis Communication & Decision Leadership","Demonstrates calm prioritization, transparent messaging, and steady leadership during emergencies. Protects trust while guiding rapid recovery.","Communicating clearly and deciding confidently under pressure.","1",,,,"General",,"true","""2025-12-09T17:11:35.340Z""",,"true"
"72","Clarity & Context Setting","Translates ambiguous expectations into clear goals, roles, and next steps. Builds psychological safety by ensuring teams understand the what, why, and how.","Simplifying complexity and creating shared understanding.","1",,,,"General",,"true","""2025-12-09T17:11:35.361Z""",,"true"
"73","Strategic Thinking & Insight","Cuts through noise to reveal the real issue, communicates insights crisply, and aligns recommendations with business impact.","Identifying patterns, risks, and opportunities to guide decisions.","1",,,,"General",,"true","""2025-12-09T17:11:35.381Z""",,"true"
"74","Cross-Functional Collaboration","Navigates friction, aligns stakeholders, and builds shared ownership. Reduces silos through trust, transparency, and structured coordination.","Working effectively across teams, functions, and priorities.","1",,,,"General",,"true","""2025-12-09T17:11:35.400Z""",,"true"
"75","Customer Communication Under Pressure","Responds with empathy, clarity, and realistic expectations. Resolves tension while protecting customer relationships.","Maintaining trust with customers during escalations or crises.","1",,,,"General",,"true","""2025-12-09T17:11:35.420Z""",,"true"
"76","Stakeholder Alignment & Orchestration","Anticipates dependencies, negotiates constraints, and aligns expectations. Ensures clarity of roles, timelines, and decisions across teams.","Coordinating diverse groups toward a unified plan.","1",,,,"General",,"true","""2025-12-09T17:11:35.443Z""",,"true"
"77","Leadership Presence Under Pressure","Regulates emotion, communicates decisively, and demonstrates steadiness. Inspires trust when stakes are high.","Maintaining calm, confidence, and credibility in high-stakes situations.","1",,,,"General",,"true","""2025-12-09T17:11:35.476Z""",,"true"
"78","Growth Mindset & Feedback Openness","Approaches criticism with curiosity rather than defensiveness. Converts insights into clear developmental action.","Welcoming and applying feedback for continuous improvement.","1",,,,"General",,"true","""2025-12-09T17:11:35.497Z""",,"true"
"79","Team Cohesion & Collaboration Building","Surfaces hidden tensions, encourages open dialogue, and establishes norms of shared problem-solving.","Building trust and reducing friction within teams.","1",,,,"General",,"true","""2025-12-09T17:11:35.517Z""",,"true"
"80","Customer Empathy & De-escalation","Listens deeply, validates frustration, and guides conversations toward constructive solutions while maintaining credibility.","Understanding emotions and reducing conflict in difficult customer interactions.","1",,,,"General",,"true","""2025-12-09T17:11:35.536Z""",,"true"
"81","Decision-Making Under Ambiguity","Weighs trade-offs, prioritizes dynamically, and communicates rationale clearly. Moves forward despite uncertainty.","Making sound choices with incomplete information.","1",,,,"General",,"true","""2025-12-09T17:11:35.557Z""",,"true"
"82","Conflict Navigation & Mediation","Uses neutrality, probing questions, and reframing to uncover underlying issues. Guides parties toward shared agreements.","Helping individuals or teams resolve disagreements constructively.","1",,,,"General",,"true","""2025-12-09T17:11:35.577Z""",,"true"
"83","Influence & Persuasion","Frames proposals strategically, addresses objections, and adapts messaging to stakeholders. Influences without relying on authority.","Gaining support for ideas through logic, value, and credibility.","1",,,,"General",,"true","""2025-12-09T17:11:35.597Z""",,"true"
"84","Self-Awareness & Feedback Integration","Reflects honestly on behavior and integrates feedback into daily practice. Builds emotional maturity and leadership depth.","Understanding personal triggers, patterns, and blind spots.","1",,,,"General",,"true","""2025-12-09T17:11:35.618Z""",,"true"
"85","Coaching for Growth","Encourages independent thinking, strengthens confidence, and supports long-term growth rather than giving solutions.","Developing others through questioning, reflection, and empowerment.","1",,,,"General",,"true","""2025-12-09T17:11:35.638Z""",,"true"
"86","Systems Thinking & Prioritization","Sees the bigger picture, anticipates ripple effects, and prioritizes work based on strategic value.","Understanding interdependencies and making high-impact trade-offs.","1",,,,"General",,"true","""2025-12-09T17:11:35.658Z""",,"true"
"87","Relationship Building & Presence","Demonstrates curiosity, warmth, and confidence in interactions. Builds networks that expand collaboration and opportunity.","Creating trust and authentic connection with others.","1",,,,"General",,"true","""2025-12-09T17:11:35.678Z""",,"true"
"88","Vision Communication & Change Influence","Clearly explains long-term value, addresses skepticism, and mobilizes support for change or new approaches.","Articulating ideas and inspiring others toward future possibilities.","1",,,,"General",,"true","""2025-12-09T17:11:35.698Z""",,"true"
"89","Assertive Communication & Boundary Negotiation","Sets realistic expectations through firm but respectful dialogue. Balances assertiveness with empathy.","Communicating needs clearly while maintaining relationships.","1",,,,"General",,"true","""2025-12-09T17:11:35.717Z""",,"true"
"90","Consultative Influence & Objection Handling","Uses active listening, probing, and structured reasoning to overcome hesitation and move conversations forward.","Influencing by deeply understanding concerns and co-creating solutions.","1",,,,"General",,"true","""2025-12-09T17:11:35.737Z""",,"true"
"91","Executive Presence & Strategic Influence","Synthesizes complexity into crisp narratives, presents compelling recommendations, and shows maturity under pressure.","Communicating with clarity, confidence, and strategic perspective to senior leaders.","1",,,,"General",,"true","""2025-12-09T17:11:35.758Z""",,"true"
"92","Emotional Intelligence & De-escalation","Maintains calm, validates emotions skillfully, and redirects discussions toward productive outcomes.","Recognizing and regulating emotions (self + others) to reduce tension.","1",,,,"General",,"true","""2025-12-09T17:11:35.777Z""",,"true"
"93","Facilitation & Collaborative Problem-Solving","Ensures equal participation, uncovers assumptions, and structures dialogue to reach aligned decisions.","Guiding groups toward shared understanding and solutions.","1",,,,"General",,"true","""2025-12-09T17:11:35.798Z""",,"true"
"94","Assertiveness with Empathy","Sets boundaries respectfully while preserving trust. Communicates constraints without triggering defensiveness.","Balancing firmness with care in difficult conversations.","1",,,,"General",,"true","""2025-12-09T17:11:35.819Z""",,"true"
"95","Strategic Prioritization & Influence","Makes trade-offs aligned with value, communicates rationale persuasively, and gains senior buy-in.","Advocating for decisions that maximize business impact.","1",,,,"General",,"true","""2025-12-09T17:11:35.839Z""",,"true"
"96","Relationship Repair & Trust Rebuilding","Acknowledges impact, listens deeply, and negotiates a constructive path forward. Demonstrates authenticity and accountability.","Restoring confidence after a breakdown or conflict.","1",,,,"General",,"true","""2025-12-09T17:11:35.860Z""",,"true"
"97","Influence Without Authority","Builds alignment through empathy, credibility, and shared goals. Finds win-win solutions even with resistant peers.","Moving work forward when teams dont report to you.","1",,,,"General",,"true","""2025-12-09T17:11:35.879Z""",,"true"
"98","Negotiation & Commercial Acumen","Uncovers underlying interests, prepares strategically, and negotiates confidently while maintaining partnership trust.","Reaching agreements that balance value, cost, and relationship.","1",,,,"General",,"true","""2025-12-09T17:11:35.900Z""",,"true"
"99","Boundary Setting & Role Clarity","Surfaces ambiguity, aligns expectations, and prevents miscommunication in high-complexity environments.","Defining ownership, responsibilities, and limits clearly.","1",,,,"General",,"true","""2025-12-09T17:11:35.920Z""",,"true"
"100","Ethical Judgment & Courage","Holds the line against shortcuts, communicates risks clearly, and protects long-term integrity and quality.","Making principled decisions under pressure.","1",,,,"General",,"true","""2025-12-09T17:11:35.938Z""",,"true"
"101","Strategic Customer Management","Anticipates needs, frames strategic solutions, and balances customer expectations with business realities.","Managing important customer relationships with insight and influence.","1",,,,"General",,"true","""2025-12-09T17:11:35.960Z""",,"true"
"102","Motivational Leadership & Empathy","Understands emotional needs, communicates hope, and helps team members reconnect with purpose.","Inspiring confidence and energy during uncertainty or change.","1",,,,"General",,"true","""2025-12-09T17:11:35.980Z""",,"true"
