id,name,description,definition,level,parent_skill_id,category,is_active,created_at,updated_at,framework_mapping,reference_source,assessment_dimensions,scoring_model_logic
70,Coaching for Performance,"Helps individuals diagnose root causes, take ownership, and commit to measurable next steps. Balances support with firm expectations to improve performance outcomes.",Driving accountability and improvement through structured conversations.,1,,General,True,"""2025-12-09T17:11:35.312Z""","""2025-12-16T04:26:43.155Z""",GROW Coaching Model + SBI Feedback,"Whitmore, J. (2009). Coaching for Performance (GROW).; Center for Creative Leadership / SBI feedback practice.",Goal clarity; Reality diagnosis; Options co-creation; Commitment & follow-through; Accountability tone,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
71,Crisis Communication & Decision Leadership,"Demonstrates calm prioritization, transparent messaging, and steady leadership during emergencies. Protects trust while guiding rapid recovery.",Communicating clearly and deciding confidently under pressure.,1,,General,True,"""2025-12-09T17:11:35.340Z""","""2025-12-16T04:26:43.155Z""",OODA Loop (decision) + Crisis Communication principles,"Boyd, J. (OODA Loop).; Coombs, W.T. (Situational Crisis Communication Theory - SCCT) for crisis response principles.",Situation assessment; Prioritization & trade-offs; Transparency & updates; Calm authority; Decision follow-through,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
72,Clarity & Context Setting,"Translates ambiguous expectations into clear goals, roles, and next steps. Builds psychological safety by ensuring teams understand the what, why, and how.",Simplifying complexity and creating shared understanding.,1,,General,True,"""2025-12-09T17:11:35.361Z""","""2025-12-16T04:26:43.155Z""",Pyramid Principle (structured communication) + Commander’s Intent,"Minto, B. (2009). The Pyramid Principle.; Military concept of Commander’s Intent (mission command).",Purpose/why; Priorities; Roles & ownership; Success criteria; Next steps & confirmation,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
73,Strategic Thinking & Insight,"Cuts through noise to reveal the real issue, communicates insights crisply, and aligns recommendations with business impact.","Identifying patterns, risks, and opportunities to guide decisions.",1,,General,True,"""2025-12-09T17:11:35.381Z""","""2025-12-16T04:26:43.155Z""",Hypothesis-driven problem solving + MECE/Issue Trees,"Minto, B. (MECE structuring).; Common consulting practice: hypothesis-driven analysis and issue trees.",Problem framing; Root-cause logic; Options evaluation; Business impact thinking; Executive synthesis,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
74,Cross-Functional Collaboration,"Navigates friction, aligns stakeholders, and builds shared ownership. Reduces silos through trust, transparency, and structured coordination.","Working effectively across teams, functions, and priorities.",1,,General,True,"""2025-12-09T17:11:35.400Z""","""2025-12-16T04:26:43.155Z""",Lencioni Team Model + RACI/DACI role clarity,"Lencioni, P. (2002). The Five Dysfunctions of a Team.; RACI/DACI decision-rights practice (project/program management).",Shared goals; Trust-building behaviors; Coordination discipline; Trade-off negotiation; Mutual accountability,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
75,Customer Communication Under Pressure,"Responds with empathy, clarity, and realistic expectations. Resolves tension while protecting customer relationships.",Maintaining trust with customers during escalations or crises.,1,,General,True,"""2025-12-09T17:11:35.420Z""","""2025-12-16T04:26:43.155Z""",Service Recovery (LAER/HEARD) + Trust Repair basics,LAER (Listen-Acknowledge-Explore-Respond) used in service recovery; Trust repair research (Lewicki & colleagues).,Empathy & validation; Clarity of explanation; Expectation setting; Ownership; Resolution path,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
76,Stakeholder Alignment & Orchestration,"Anticipates dependencies, negotiates constraints, and aligns expectations. Ensures clarity of roles, timelines, and decisions across teams.",Coordinating diverse groups toward a unified plan.,1,,General,True,"""2025-12-09T17:11:35.443Z""","""2025-12-16T04:26:43.155Z""",RAPID Decision Rights + Stakeholder Mapping,Bain RAPID decision model; Stakeholder mapping & dependency management practices in program management.,Stakeholder diagnosis; Dependency management; Decision hygiene; Alignment communication; Risk surfacing,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
77,Leadership Presence Under Pressure,"Regulates emotion, communicates decisively, and demonstrates steadiness. Inspires trust when stakes are high.","Maintaining calm, confidence, and credibility in high-stakes situations.",1,,General,True,"""2025-12-09T17:11:35.476Z""","""2025-12-16T04:26:43.155Z""",Executive Presence (Hewlett) + Stress regulation principles,"Hewlett, S.A. (2013). Executive Presence.; Evidence-based stress regulation concepts (emotion regulation research).",Composure; Confidence signals; Clarity; Decisiveness; Ownership stance,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
78,Growth Mindset & Feedback Openness,Approaches criticism with curiosity rather than defensiveness. Converts insights into clear developmental action.,Welcoming and applying feedback for continuous improvement.,1,,General,True,"""2025-12-09T17:11:35.497Z""","""2025-12-16T04:27:44.388Z""",Growth Mindset + Radical Candor,"Dweck, C. (2006). Mindset.; Scott, K. (2017). Radical Candor.",Curiosity; Non-defensiveness; Ownership; Learning agility; Action planning,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
79,Team Cohesion & Collaboration Building,"Surfaces hidden tensions, encourages open dialogue, and establishes norms of shared problem-solving.",Building trust and reducing friction within teams.,1,,General,True,"""2025-12-09T17:11:35.517Z""","""2025-12-16T04:27:44.388Z""",Psychological Safety + Lencioni Team Model,"Edmondson, A. (1999/2018). Psychological Safety.; Lencioni, P. (2002). Five Dysfunctions.",Trust behaviors; Norm-setting; Healthy conflict; Inclusion; Shared accountability,"SkillPulse: score each dimension (1–5) as the average of mapped Likert/SJT items (reverse-code where applicable); overall skill score = average of dimension scores (or weighted average if weights provided). AI Practice Lab: score each dimension 0–5 using a behavioral rubric (0=not observed, 5=exemplary) with evidence tags; session skill score = weighted average of observed dimensions; track consistency (variance) and improvement vs baseline."
